id,name,desc,English
134,二分查找,取出表中的中间元素，若其关键字值为key，则查找成功，算法结束；否则以中间元素为分界点，将查找表分成两个子表，并判断所查的key值所在的子表是前部分，还是后部分，再重复上述步骤直到找到关键字值为key的元素或子表长度为0。,
135,索引顺序表的查找过程,1）由索引确定记录所在块（区间）；2）在顺序表的某个块内进行查找。,
136,二叉排序树,二叉排序树或者是一棵空树；或者是具有如下特性的二叉树：1）若它的左子树不空，则左子树上所有结点的值均小于根结点的值；2）若它的右子树不空，则右子树上所有结点的值均大于根结点的值；3）它的左、右子树也都分别是二叉排序树。,
137,平衡二叉树,它或者是一棵空树，或者是具有下列性质的二叉树：它的左子树或右子树都是平衡二叉树，且左子树和右子树的深度之差的绝对值不超过1。,
138,平衡因子,该结点的左子树的深度减去它右子树的深度。,
139,B-树,"一棵m阶(m>=3)B-树，或为空树，或为满足下列特征的m叉树。⑴ 树中每个结点至多有m棵子树。 ⑵ 若根结点不是叶子结点，则至少有两棵子树。 ⑶ 所有的非终端结点中包含下列信息：(n, P0 ,K1 ,P1 ,K2 ,P2 ,…,Kn ,Pn)",
140,红黑树,红黑树是一种每一个结点都带有颜色属性的二叉查找树，颜色或是红色或是黑色。可以把一棵红黑树视为一棵扩充的二叉树，用外部结点表示空指针。,
141,哈希表,根据设定的哈希函数 H(key) 和所选中的处理冲突的方法，将一组关键字映象到一个有限的、地址连续的地址集 (区间) 上，并以关键字在地址集中的“象”作为相应记录在表中的存储位置，如此构造所得的查找表称之为“哈希表”。,
142,数字分析法,"假设关键字集合中的每个关键字都是由 s 位数字组成 (u1, u2, …, us)，分析关键字集中的全体， 并从中提取分布均匀的若干位或它们的组合作为地址。",
143,平方取中法,以关键字的平方值的中间几位作为存储地址。求“关键字的平方值” 的目的是“扩大差别” ，同时平方值的中间各位又能受到整个关键字中各位的影响。,
144,折叠法,将关键字分割成若干部分，然后取它们的叠加和为哈希地址。有两种叠加处理的方法：移位叠加和间界叠加。,
